dataset,variable,label,n_valid,n_total
ZA10100_cross2025,q126c,"Nat. Identitaet: Symb. Grenzen, deutsch sprechen",7287,7337
ZA10100_cross2025,q126d,"Nat. Identitaet: Symb. Grenzen, an dt. Traditionen halten",7285,7337
ZA10100_cross2025,q27a,"Einstellungen: Issuebatterie II, Anpassung an deutsche Kultur",7300,7337
ZA10100_cross2025,q27b,"Einstellungen: Issuebatterie II, gendergerechte Sprache sinnvoll",7291,7337
ZA10100_cross2025,q27c,"Einstellungen: Issuebatterie II, Staat aus Wirtschaft heraushalten",7286,7337
ZA10100_cross2025,q27d,"Einstellungen: Issuebatterie II, Einkommensunterschiede verringern",7279,7337
ZA10100_cross2025,q27e,"Einstellungen: Issuebatterie II, Waffenlieferung an UKR beenden",7284,7337
ZA10100_cross2025,q154d,"Affektive Polarisierung: Waehler:innen, SPD",7135,7337
ZA10100_cross2025,q154b,"Affektive Polarisierung: Waehler:innen, CDU",7140,7337
ZA10100_cross2025,q154c,"Affektive Polarisierung: Waehler:innen, CSU",7118,7337
ZA10100_cross2025,q154f,"Affektive Polarisierung: Waehler:innen, GRUENE",7137,7337
ZA10100_cross2025,q154e,"Affektive Polarisierung: Waehler:innen, FDP",7107,7337
ZA10100_cross2025,q154h,"Affektive Polarisierung: Waehler:innen, AfD",7139,7337
ZA10100_cross2025,q154g,"Affektive Polarisierung: Waehler:innen, DIE LINKE",7117,7337
ZA10100_cross2025,q154m,"Affektive Polarisierung: Waehler:innen, BSW",7115,7337
ZA10100_cross2025,q50a,"Einstellungen: Politik allgemein, pol. Fragen verstaendlich",7280,7337
ZA10100_cross2025,q50b,"Einstellungen: Politik allgemein, Parteien wollen nur Stimmen",7277,7337
ZA10100_cross2025,q50c,"Einstellungen: Politik allgemein, Probleme zu kompliziert",7281,7337
ZA10100_cross2025,q50d,"Einstellungen: Politik allgemein, Waehlen ist Buergerpflicht",7291,7337
ZA10100_cross2025,q50e,"Einstellungen: Politik allgemein, Sozialismus gute Idee",7224,7337
ZA10100_cross2025,q50f,"Einstellungen: Politik allgemein, Unuebersichtlichkeit der Welt",7279,7337
ZA10100_cross2025,q50g,"Einstellungen: Politik allgemein, Beteiligung an politischen Gespraechen",7291,7337
ZA10100_cross2025,q51a,"Einstellungen: Populismus, Kompromiss ist Prinzipienverrat",7232,7337
ZA10100_cross2025,q51b,"Einstellungen: Populismus, Volk soll entscheiden",7260,7337
ZA10100_cross2025,q51c,"Einstellungen: Populismus, Abgeordnete Volkswillen umsetzen",7248,7337
ZA10100_cross2025,q51d,"Einstellungen: Populismus, Unterschiede zw. Eliten/Volk",7111,7337
ZA10100_cross2025,q51e,"Einstellungen: Populismus, Buerger:innen bessere Vertretung",7225,7337
ZA10100_cross2025,q51f,"Einstellungen: Populismus, Politiker:innen reden zu viel",7243,7337
ZA10100_cross2025,q51g,"Einstellungen: Populismus, starke:r Fuehrer:in gut fuer Deutschland",7251,7337
ZA10100_cross2025,q51h,"Einstellungen: Populismus, Gerichte sollten Regierung stoppen koennen",7247,7337
ZA10100_cross2025,q51i,"Einstellungen: Populismus, Demokratie immer vorzuziehen",7250,7337
ZA10100_cross2025,q166a,"Einstellungen: Rechtsextremismus, starke voelkische Partei noetig",7244,7337
ZA10100_cross2025,q166b,"Einstellungen: Rechtsextremismus, starkes Nationalgefuehl",7239,7337
ZA10100_cross2025,q166c,"Einstellungen: Rechtsextremismus, BRD ueberfremdet",7267,7337
ZA10100_cross2025,q166d,"Einstellungen: Rechtsextremismus, juedischer Einfluss zu gross",7241,7337
ZA10100_cross2025,q166e,"Einstellungen: Rechtsextremismus, Staerkerer durchsetzen",7254,7337
ZA10100_cross2025,q166f,"Einstellungen: Rechtsextremismus, NS-Verbrechen uebertrieben",7240,7337
ZA10100_cross2025,q167a,"Einstellungen: liberale Demokratie, kritische Medien zensieren",7254,7337
ZA10100_cross2025,q167b,"Einstellungen: liberale Demokratie, Ein-Parteien-System",7253,7337
ZA10100_cross2025,q167c,"Einstellungen: liberale Demokratie, allg. Wahlrecht infrage stellen",7243,7337
ZA10100_cross2025,q167d,"Einstellungen: liberale Demokratie, Wahlrecht eigennuetzig aendern",7212,7337
