id,year,treat_no_well_perform_2014,own_econ_bad,own_econ_retrospect_worse,own_econ_gov_responsible_not,own_econ_prospect_worse,gen_econ_bad,gen_econ_retrospect_worse,gen_econ_gov_responsible_not,gen_econ_prospect_worse,cdu_performance_satisfied,csu_performance_satisfied,spd_performance_satisfied
35227,2018,,4,4,4,4,3,3,3,3,1,1,1
36329,2018,,4,4,2,3,3,3,2,3,1,1,3
37435,2019,,3,3,1,4,3,3,1,3,8,9,8
38535,2019,1,4,4,1,4,5,5,1,5,1,4,1
39636,2019,,2,3,4,3,1,3,1,3,9,3,3
40713,2020,,3,2,2,2,2,4,2,3,10,10,10
41806,2020,,4,4,4,5,4,3,3,3,4,6,9
42899,2020,,2,4,3,3,4,4,2,3,4,6,3
43977,2021,,3,3,1,3,3,4,1,3,6,6,6
45096,2021,,2,3,3,3,3,3,3,3,6,6,6
46191,2021,1,3,3,2,3,2,4,2,2,6,6,6
47879,2022,,4,4,2,2,4,4,2,4,-94,-94,9
48991,2022,,4,3,3,2,4,4,3,3,-94,-94,2
50115,2022,1,2,3,2,3,3,4,3,3,-94,-94,7
51234,2023,1,2,3,2,3,3,4,3,3,-94,-94,6
1159,2009,,4,4,2,3,4,3,-94,3,9,10,-94
2290,2010,,3,3,3,3,3,3,-94,3,2,2,-94
3426,2010,,5,4,3,5,3,4,2,4,1,1,-94
4564,2010,,5,5,1,3,3,2,2,2,3,3,-94
5711,2010,,3,4,2,4,3,4,2,4,6,6,-94
7993,2011,,4,3,4,2,4,5,3,5,10,10,-94
9136,2011,1,3,1,5,3,4,2,5,4,1,1,-94
10295,2011,,2,2,3,3,2,2,3,3,2,2,-94
11407,2012,,3,4,4,3,3,4,1,4,5,4,-94
12424,2012,,4,5,2,4,3,2,3,3,4,4,-94
13498,2013,,2,4,4,3,3,3,3,3,6,7,-94
15580,2013,1,2,3,3,3,3,2,3,2,6,5,-94
16593,2013,1,2,3,4,4,2,2,3,2,9,7,-94
19710,2014,,3,3,5,3,2,3,5,4,7,5,6
20720,2014,,3,4,2,4,3,3,3,4,7,7,4
21740,2015,,2,2,3,3,3,2,3,3,6,5,7
22769,2015,,3,2,5,2,2,3,4,3,10,9,9
23788,2015,,2,2,3,3,3,5,3,2,10,10,3
24815,2015,,3,3,2,3,3,3,2,4,7,6,5
25846,2016,,2,3,4,3,2,3,3,3,7,1,8
26861,2016,,2,1,5,1,2,2,3,2,8,2,8
27884,2016,,4,4,2,3,3,1,2,3,10,9,8
28907,2016,,3,3,2,4,3,3,2,4,2,2,2
29929,2017,,2,2,4,2,2,1,3,2,10,8,9
30937,2017,,2,4,3,3,2,4,3,3,10,9,9
32021,2017,,2,4,5,3,2,3,3,3,7,6,7
33106,2017,,2,2,3,3,2,1,2,3,9,9,4
34122,2018,,1,1,3,2,1,1,1,2,10,10,11
35228,2018,,2,4,5,3,2,2,3,4,9,1,6
36330,2018,,2,4,1,4,5,5,1,5,1,2,1
37436,2019,,2,3,3,3,2,2,2,4,10,9,8
38536,2019,,3,2,3,2,2,2,2,3,9,5,2
39637,2019,,3,4,2,5,4,4,3,3,4,4,4
40714,2020,,2,3,2,3,2,2,2,3,6,6,6
41807,2020,1,-99,3,5,5,5,4,2,5,6,6,6
42900,2020,1,4,3,2,4,2,3,3,2,5,5,8
43978,2021,1,4,4,3,3,2,3,3,4,8,8,7
45097,2021,,3,3,4,3,2,2,4,4,7,7,7
46192,2021,,2,3,3,3,3,3,2,4,1,1,2
47880,2022,,5,5,3,3,5,5,4,3,-94,-94,1
48992,2022,,4,5,2,4,4,4,2,4,-94,-94,5
50116,2022,,2,3,2,4,4,5,2,4,-94,-94,5
51235,2023,,3,4,2,4,3,3,3,3,-94,-94,6
1160,2009,,2,1,4,3,4,5,-94,2,10,8,-94
2291,2010,1,5,5,2,2,4,5,-94,3,2,2,-94
3427,2010,,2,3,3,3,2,3,3,3,1,1,-94
4565,2010,0,5,1,1,1,1,1,1,1,1,1,-94
5712,2010,1,2,4,3,3,3,4,2,2,2,1,-94
6854,2011,1,5,5,1,4,4,4,1,4,1,1,-94
7994,2011,0,3,2,3,2,2,1,1,2,8,4,-94
9137,2011,,3,4,2,4,2,2,3,4,5,4,-94
10296,2011,1,3,3,3,3,3,3,3,3,6,1,-94
11408,2012,,3,3,2,3,3,3,3,3,1,1,-94
12425,2012,,4,5,1,5,5,5,1,5,1,1,-94
13499,2013,,1,1,2,3,2,2,2,2,10,9,-94
14532,2013,,3,4,3,3,4,5,2,4,6,2,-94
15581,2013,,2,2,5,2,3,2,4,3,6,6,-94
18664,2014,,4,5,1,5,5,5,1,5,1,1,1
19711,2014,,4,5,1,5,4,5,1,5,1,1,1
20721,2014,,1,2,4,1,2,1,2,3,8,5,4
21741,2015,,2,3,2,3,1,1,1,2,9,7,9
22770,2015,,2,3,3,3,2,2,2,2,10,10,8
23789,2015,,2,3,2,3,3,3,4,4,2,1,2
24816,2015,,3,4,4,3,2,2,3,2,8,6,8
25847,2016,,3,4,2,4,2,2,2,4,8,4,8
26862,2016,,2,3,3,3,3,4,3,4,7,7,7
27885,2016,,3,4,1,4,4,5,1,5,1,1,1
28908,2016,1,3,4,2,4,3,3,2,3,4,3,2
29930,2017,,2,1,5,3,2,2,3,3,9,8,7
30938,2017,,3,2,5,3,1,3,5,3,4,1,9
32022,2017,,3,3,3,3,2,2,3,3,4,2,7
33107,2017,,2,3,3,3,2,3,3,3,9,2,10
34123,2018,,2,2,5,3,3,4,2,3,4,8,3
35229,2018,1,2,3,4,3,1,3,2,3,9,1,2
36331,2018,,3,4,2,3,3,4,2,4,1,1,6
37437,2019,,2,3,2,3,3,5,1,5,1,2,1
38537,2019,,3,2,4,3,2,3,3,4,6,4,8
39638,2019,,3,4,2,3,3,4,3,3,10,9,8
40715,2020,,3,3,1,3,3,4,1,4,1,1,1
41808,2020,,2,2,3,2,2,2,3,4,3,3,3
42901,2020,,3,3,1,3,4,4,3,4,9,9,4
43979,2021,,4,2,3,2,4,4,1,4,3,3,1
45098,2021,,2,2,4,2,3,3,3,3,4,7,6
46193,2021,,2,3,3,3,3,4,2,2,4,9,7
47881,2022,,3,3,4,3,3,4,3,4,-94,-94,7
48993,2022,1,2,1,5,4,4,5,3,4,-94,-94,6
